fluid,operator,project_status,inplace,depth,temp,poro,perm,saturate,api_dens,visc,avg_fluid_rate,location,region,prospect_rank
Gas,PERTAMINA,BOTH,3.745,5000.0,93.31992955040016,0.314806,971.2927,0.6666092,0.8494478,0.0,11.95724,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,3.745,5000.0,93.31992955040016,0.314806,971.2927,0.6666092,0.8494478,0.0,11.95724,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,14.6,5276.0,95.21519866317232,0.2086129,1843.266,0.4940423,0.7076034,0.0,7.329648,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,10.041,8540.0,114.01745999456084,0.1983338,176.2061,0.7225681,0.7808007,0.0,21.23,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,10.041,8540.0,114.01745999456084,0.1983338,176.2061,0.7225681,0.7808007,0.0,21.23,Jawa Barat,Jawa,0
Gas,PERTAMINA,BOTH,96.65,11463.0,127.29438513608048,0.1112552,179.5616,0.7578117,0.7977383,0.0,29.80825,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,347.84,9537.0,118.8271595086172,0.1032785,103.8321,0.5474507,0.7977383,0.0,33.04704,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,84.93,4777.0,91.7402074648776,0.3421748,126.3486,0.7276103,0.7746674,0.0,78.91942,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,99.6,4600.0,90.45317325165622,0.2118038,169.4607,0.6699823,0.7138909,0.0,74.35828,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,2389.772,1800.0,63.67116525905348,0.3505961,1985.562,0.6003748,0.7746674,0.0,759.8911,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,2389.772,1800.0,63.67116525905348,0.3505961,1985.562,0.6003748,0.7746674,0.0,759.8911,Jawa Barat,Jawa,1
Gas,PERTAMINA,BOTH,1.667,2750.0,74.61362166190649,0.2489796,110.9292,0.6143545,0.9252267,0.0,106.3223,Jawa Barat,Jawa,2
Gas,PERTAMINA,ONSHORE,19.016,4593.400000000001,107.8,0.1519421,17.82381,0.6402025,0.7259003,0.0,0.1491615,Sumatera Selatan,Sumatera,2
Gas,PERTAMINA,BOTH,19.016,4593.400000000001,107.8,0.1519421,17.82381,0.6402025,0.7259003,0.0,0.1491615,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,19.016,4593.400000000001,107.8,0.1519421,17.82381,0.6402025,0.7259003,0.0,0.1491615,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,362.0,8000.0,111.26436655609773,0.2231544,93.64886,0.7944723,0.6433482,0.0,53.45926,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,717.566,5000.0,93.31992955040016,0.2440588,752.2764,0.7648236,0.6573509,0.0,81.54186,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,165.309,5000.0,93.31992955040016,0.3218335,160.4861,0.6991754,0.7746534,0.0,10.93154,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,7.674,5000.0,93.31992955040016,0.3255516,325.2355,0.6991754,0.7776215,0.0,16.49232,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,117.853,5000.0,93.31992955040016,0.2783492,302.4089,0.6077819,0.8417832,0.0,18.84172,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,254.947,8225.0,112.42520364068102,0.1539858,22.34077,0.5663427,0.8031358,0.0,20.47908,Jawa Barat,Jawa,0
Gas,PERTAMINA,BOTH,320.489,1831.0,64.07930681560012,0.300145,57.95309,0.7413222,0.8423855,0.0,11.48969,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,5.19,5000.0,93.31992955040016,0.3445868,97.26765,0.6991754,0.7746674,0.0,4.948355,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,298.426,2339.0,55.0,0.2271791,371.9442,0.5468395,0.5808769,0.0,13.94369,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,2.699,7217.85,107.06217082029453,0.169899,64.73755,0.5648977,0.8034328,0.0,2.691344,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,72.9,5049.0,93.66110481335828,0.164822,283.0612,0.5194085,0.8034328,0.0,23.23973,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,97.5,5250.0,95.03934575124684,0.1980421,165.1927,0.5254942,0.7808007,0.0,16.59375,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,64.98,3220.0,79.15156273831063,0.2160373,234.0409,0.7195972,0.7134582,0.0,70.98375,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,45.6,9331.0,102.0,0.126997,250.5103,0.5701074,0.6534203,0.0,56.74895,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,16.388,2103.0,67.48795717561019,0.2677442,192.4472,0.680842,0.7615536,0.0,0.3584978,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,6.564,4295.0,88.16062170957518,0.1952445,117.0372,0.5887851,0.8298026,0.0,7.290943,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,55.031,6775.0,104.5553081972384,0.1772677,75.50176,0.5831528,0.819289,0.0,28.94352,Jawa Barat,Jawa,0
Gas,PERTAMINA,BOTH,1019.125,7100.0,152.9,0.07019517,201.2441,0.2000223,0.7195771,0.0,17.23532,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,1522.0,3730.0,83.62830057501874,0.2602949,176.0073,0.4901671,0.7780957,0.0,98.92418,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,1522.0,3730.0,83.62830057501874,0.2602949,176.0073,0.4901671,0.7780957,0.0,98.92418,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,21.6,5000.0,93.31992955040016,0.3364487,126.3486,0.6991754,0.7746674,0.0,4.427149,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,8.9,5000.0,93.31992955040016,0.2411113,155.1851,0.7603664,0.6368484,0.0,27.24387,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,68.55,2530.0,72.32151673960442,0.2557892,130.2356,0.602866,0.8127732,0.0,32.27964,Jawa Barat,Jawa,2
Gas,PERTAMINA,BOTH,44.78,4436.0,89.23270532377992,0.2406715,294.7949,0.5807516,0.6368484,0.0,20.28212,Jawa Barat,Jawa,2
Gas,NON_PERTAMINA,OFFSHORE,188.0,8471.0,74.25,0.2841325,2360.414,0.7637708,0.7589561,0.0,3.008234,Selat Makasar,Kalimantan,2
