,fluid,field_name,operator,project_status,project_level,inplace,depth,temp,poro,perm,saturate,api_dens,visc,cap_cost,opr_cost,total_cost,avg_fluid_rate,location,region,NPV,PI
83,Gas,NK,PETROGAS (BASIN) LTD.,ONSHORE,E0. On Production,93.0,7750.0,109.95032659394461,0.1437241,18.67255,0.4698008,0.8031358,0.0,84.65085,14.67141,99.32226,8.089176,Papua Barat,Timur,226.1653,2.2770857207639055
84,Gas,SE ARAR,PETROGAS (BASIN) LTD.,ONSHORE,E0. On Production,7.043,9250.0,117.47624681421226,0.1586345,66.44479,0.7571208,0.8034328,0.0,137.7276,19.21717,156.94477,8.840745,Papua Barat,Timur,58.46344,0.37250964144902693
85,Gas,MALEO,SANTOS (MADURA OFFSHORE) PTY. LTD.,OFFSHORE,E0. On Production,430.7,1748.0,52.800000000000004,0.4679498,255.8576,0.4277362,0.6994113,0.0,68.61457,46.30304,114.91761,81.20269,Laut Jawa,Jawa,190.3459,1.6563684190786774
86,Gas,PELUANG,SANTOS (MADURA OFFSHORE) PTY. LTD.,OFFSHORE,E0. On Production,89.5,3129.0,71.5,0.4532926,66.5536,0.6208867,0.5970238,0.0,178.5431,18.4614,197.0045,20.76481,Laut Jawa,Jawa,249.0405,1.2641360984139955
87,Gas,PECIKO,PT PERTAMINA HULU MAHAKAM,BOTH,E0. On Production,7135.0,10393.5,126.50000000000001,0.1712447,33.20481,0.7802863,0.7798384,0.0,33.08644,83.76278,116.84922,17.2499,Selat Makasar,Kalimantan,196.8172,1.6843689671184798
88,Gas,PECIKO,PT PERTAMINA HULU MAHAKAM,BOTH,E0. On Production,7135.0,10393.5,126.50000000000001,0.1712447,33.20481,0.7802863,0.7798384,0.0,33.08644,83.76278,116.84922,17.2499,Selat Makasar,Kalimantan,196.8172,1.6843689671184798
89,Gas,SISI NUBI,PT PERTAMINA HULU MAHAKAM,BOTH,E0. On Production,4155.0,8200.0,110.55000000000001,0.1797476,727.6804,0.5998836,0.7682066,0.0,9.954061,1.940063,11.894124,165.6952,Selat Makasar,Kalimantan,204.4658,17.19048834533758
90,Gas,TUNU,PT PERTAMINA HULU MAHAKAM,BOTH,E0. On Production,18882.0,10780.0,81.4,0.2997081,483.3291,0.8025897,0.630865,0.0,215.8104,127.7347,343.5451,27.99518,Selat Makasar,Kalimantan,190.0903,0.5533197824681534
91,Gas,TUNU,PT PERTAMINA HULU MAHAKAM,BOTH,E0. On Production,18882.0,10780.0,81.4,0.2997081,483.3291,0.8025897,0.630865,0.0,215.8104,127.7347,343.5451,27.99518,Selat Makasar,Kalimantan,190.0903,0.5533197824681534
92,Gas,JANGKRIK,ENI MUARA BAKAU B.V.,OFFSHORE,E0. On Production,1226.0,6527.0,63.800000000000004,0.2446346,340.8867,0.5938145,0.5926647,0.0,313.5279,40.26823,353.79613,87.97173,Selat Makasar,Kalimantan,1214.251,3.4320641099155043
